run_id,method,workload_id,profile,memory_request_mi,peak_memory_mi
comparative-39b6973-seed20260720-static_default-light_visual_aggregation-r00-medium,static_default,light_visual_aggregation,medium,732,21.09
comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_memory_pressure-r04-medium,intent_only,ml_sklearn_fit_memory_pressure,medium,732,207.758
comparative-39b6973-seed20260720-static_default-light_basic_python-r04-medium,static_default,light_basic_python,medium,732,15.32
comparative-39b6973-seed20260720-intent_only-light_basic_python-r01-small,intent_only,light_basic_python,small,244,15.062
comparative-39b6973-seed20260720-intent_only-policy_gpu_disallowed-r04-small,intent_only,policy_gpu_disallowed,small,244,15.043
comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_small-r02-medium,context_aware,ml_sklearn_fit_small,medium,732,15.082
comparative-39b6973-seed20260720-static_default-data_dataframe_join_medium-r03-medium,static_default,data_dataframe_join_medium,medium,732,15.605
comparative-39b6973-seed20260720-intent_only-light_visual_aggregation-r01-small,intent_only,light_visual_aggregation,small,244,16.023
comparative-39b6973-seed20260720-context_aware-data_dataframe_join_medium-r01-medium,context_aware,data_dataframe_join_medium,medium,732,15.5
comparative-39b6973-seed20260720-intent_only-boundary_below_0_5_ambiguous-r02-small,intent_only,boundary_below_0_5_ambiguous,small,244,15.645
comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_small-r01-medium,context_aware,ml_sklearn_fit_small,medium,732,15.961
comparative-39b6973-seed20260720-intent_only-light_basic_python-r00-small,intent_only,light_basic_python,small,244,15.43
comparative-39b6973-seed20260720-intent_only-policy_gpu_disallowed-r03-small,intent_only,policy_gpu_disallowed,small,244,15.414
comparative-39b6973-seed20260720-intent_only-data_large_aggregation-r03-medium,intent_only,data_large_aggregation,medium,732,15.926
comparative-39b6973-seed20260720-static_default-light_small_csv_read-r01-medium,static_default,light_small_csv_read,medium,732,15.789
comparative-39b6973-seed20260720-context_aware-light_visual_aggregation-r02-small,context_aware,light_visual_aggregation,small,244,15.898
comparative-39b6973-seed20260720-static_default-light_small_csv_read-r03-medium,static_default,light_small_csv_read,medium,732,15.426
comparative-39b6973-seed20260720-context_aware-data_pandas_read_transform-r02-medium,context_aware,data_pandas_read_transform,medium,732,15.566
comparative-39b6973-seed20260720-intent_only-ml_sklearn_fit_memory_pressure-r00-medium,intent_only,ml_sklearn_fit_memory_pressure,medium,732,207.48
comparative-39b6973-seed20260720-static_default-light_small_csv_read-r02-medium,static_default,light_small_csv_read,medium,732,15.52
comparative-39b6973-seed20260720-static_default-data_large_aggregation-r02-medium,static_default,data_large_aggregation,medium,732,15.742
comparative-39b6973-seed20260720-intent_only-boundary_above_0_5_conflicting-r00-medium,intent_only,boundary_above_0_5_conflicting,medium,732,15.91
comparative-39b6973-seed20260720-context_aware-ml_sklearn_fit_small-r03-medium,context_aware,ml_sklearn_fit_small,medium,732,15.336
comparative-39b6973-seed20260720-static_default-data_large_aggregation-r00-medium,static_default,data_large_aggregation,medium,732,16.07
comparative-39b6973-seed20260720-static_default-data_large_aggregation-r01-medium,static_default,data_large_aggregation,medium,732,15.637
comparative-39b6973-seed20260720-intent_only-data_large_aggregation-r04-medium,intent_only,data_large_aggregation,medium,732,15.648
comparative-39b6973-seed20260720-static_default-ml_sklearn_fit_small-r00-medium,static_default,ml_sklearn_fit_small,medium,732,15.301
comparative-39b6973-seed20260720-static_default-light_visual_aggregation-r02-medium,static_default,light_visual_aggregation,medium,732,20.41
