cpu_request_m,cpu_request_to_peak_ratio,memory_request_mi,memory_request_to_peak_ratio,method,peak_cpu_m,peak_memory_mi,repeat_index,resource_measurement_source,run_id,workload_id
500,,732,36.6,context_aware,,20,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-data_pandas_read_transform-r03,data_pandas_read_transform
500,,732,36.6,context_aware,,20,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-data_pandas_read_transform-r04,data_pandas_read_transform
100,,244,12.2,static_manual,,20,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-light_basic_python-r00,light_basic_python
100,,244,12.2,static_manual,,20,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-light_basic_python-r01,light_basic_python
100,,244,12.2,static_manual,,20,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-light_basic_python-r02,light_basic_python
100,,244,11.619048,static_manual,,21,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-light_basic_python-r03,light_basic_python
100,,244,11.619048,static_manual,,21,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-light_basic_python-r04,light_basic_python
100,,244,12.2,intent_only,,20,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-light_basic_python-r00,light_basic_python
100,,244,12.2,intent_only,,20,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-light_basic_python-r01,light_basic_python
100,,244,12.2,intent_only,,20,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-light_basic_python-r02,light_basic_python
100,,244,12.2,intent_only,,20,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-light_basic_python-r03,light_basic_python
100,,244,11.619048,intent_only,,21,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-light_basic_python-r04,light_basic_python
100,,244,11.619048,context_aware,,21,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-light_basic_python-r00,light_basic_python
100,,244,11.619048,context_aware,,21,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-light_basic_python-r01,light_basic_python
100,,244,11.619048,context_aware,,21,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-light_basic_python-r02,light_basic_python
100,,244,11.619048,context_aware,,21,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-light_basic_python-r03,light_basic_python
100,,244,11.619048,context_aware,,21,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-context_aware-light_basic_python-r04,light_basic_python
100,,244,11.619048,static_manual,,21,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-light_small_csv_read-r00,light_small_csv_read
100,,244,12.2,static_manual,,20,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-light_small_csv_read-r01,light_small_csv_read
100,,244,11.619048,static_manual,,21,2,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-light_small_csv_read-r02,light_small_csv_read
100,,244,12.2,static_manual,,20,3,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-light_small_csv_read-r03,light_small_csv_read
100,,244,12.2,static_manual,,20,4,python_resource_getrusage,20260719T140431Z-matrix-aed48949-static_manual-light_small_csv_read-r04,light_small_csv_read
500,,732,34.857143,intent_only,,21,0,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-light_small_csv_read-r00,light_small_csv_read
500,,732,36.6,intent_only,,20,1,python_resource_getrusage,20260719T140431Z-matrix-aed48949-intent_only-light_small_csv_read-r01,light_small_csv_read
